slug,level0:name_en,level0:name_he,level1:name_en,level1:name_he,level2:name_en,level2:name_he
human_situations,Human Situations,מצבים 
human_situations:general,Human Situations,מצבים ,General,כללי 
human_situations:general:anyone_in_need,Human Situations,מצבים ,General,כללי ,Anyone in Need,כל אדם הצריך עזרה
human_situations:age_group,Human Situations,מצבים ,Age Group,קבוצת גיל 
human_situations:age_group:all_ages,Human Situations,מצבים ,Age Group,קבוצת גיל ,All Ages,כל הגילאים
human_situations:age_group:adults,Human Situations,מצבים ,Age Group,קבוצת גיל ,Adults,מבוגרים
human_situations:age_group:young_adults,Human Situations,מצבים ,Age Group,קבוצת גיל ,Young Adults,מבוגרים צעירים 
human_situations:age_group:teens,Human Situations,מצבים ,Age Group,קבוצת גיל ,Teens,בני נוער
human_situations:age_group:infants,Human Situations,מצבים ,Age Group,קבוצת גיל ,Infants,גיל הרך
human_situations:age_group:children,Human Situations,מצבים ,Age Group,קבוצת גיל ,Children,ילדים
human_situations:age_group:seniors,Human Situations,מצבים ,Age Group,קבוצת גיל ,Seniors,אזרחים ותיקים
human_situations:armed_forces,Human Situations,מצבים ,Armed Forces,צבא ובטחון
human_situations:armed_forces:active_duty,Human Situations,מצבים ,Armed Forces,צבא ובטחון,Active Duty,חיילים וחיילות 
human_situations:armed_forces:veterans,Human Situations,מצבים ,Armed Forces,צבא ובטחון,Veterans,"גמלאי צה""ל"
human_situations:citizenship,Human Situations,מצבים ,Citizenship,הגירה
human_situations:citizenship:immigrants,Human Situations,מצבים ,Citizenship,הגירה,Immigrants,מהגרים.ות 
human_situations:citizenship:olim,Human Situations,מצבים ,Citizenship,הגירה,Olim,עולים 
human_situations:citizenship:refugees,Human Situations,מצבים ,Citizenship,הגירה,Refugees,פליטים.ות 
human_situations:citizenship:undocumented,Human Situations,מצבים ,Citizenship,הגירה,Undocumented,שוהים בלתי חוקיים
human_situations:justice_involvement,Human Situations,מצבים ,Justice Involvement,מצב משפטי
human_situations:justice_involvement:criminal_justice_history,Human Situations,מצבים ,Justice Involvement,מצב משפטי,Criminal Justice History,בעלי עבר פלילי
human_situations:justice_involvement:in_jail,Human Situations,מצבים ,Justice Involvement,מצב משפטי,In Jail,בכלא
human_situations:disability,Human Situations,מצבים ,Disability,מוגבלויות 
human_situations:disability:all_disabilities,Human Situations,מצבים ,Disability,מוגבלויות ,All Disabilities,כל המוגבלויות 
human_situations:disability:learning_disability,Human Situations,מצבים ,Disability,מוגבלויות ,Learning Disability,קשיי למידה והפרעות קשב וריכוז
human_situations:disability:learning_disability:add_adhd,Human Situations,מצבים ,Disability,מוגבלויות ,Learning Disability,קשיי למידה והפרעות קשב וריכוז,ADD/ADHD,
human_situations:disability:developmental_disability,Human Situations,מצבים ,Disability,מוגבלויות ,Developmental Disability,נכות התפתחותית
human_situations:disability:physical_disability,Human Situations,מצבים ,Disability,מוגבלויות ,Physical Disability,
human_situations:disability:intellectual_disability,Human Situations,מצבים ,Disability,מוגבלויות ,Intellectual Disability,מוגבלות שכלית
human_situations:disability:mentally_incapacitated,Human Situations,מצבים ,Disability,מוגבלויות ,Mentally Incapacitated,נכות נפשית 
human_situations:disability:limited_mobility,Human Situations,מצבים ,Disability,מוגבלויות ,Limited Mobility,תנועה מוגבלת
human_situations:disability:deaf_or_hard_of_hearing,Human Situations,מצבים ,Disability,מוגבלויות ,Deaf or Hard of Hearing,חרשות או שמיעה מוגבלת
human_situations:disability:visual_impairment,Human Situations,מצבים ,Disability,מוגבלויות ,Visual Impairment,ליקוי ראיה
human_situations:disability:mental_illness,Human Situations,מצבים ,Disability,מוגבלויות ,Mental Illness,
human_situations:education,Human Situations,מצבים ,Education,חינוך
human_situations:education:dropouts,Human Situations,מצבים ,Education,חינוך,Dropouts,נושרים
human_situations:education:speacial_needs,Human Situations,מצבים ,Education,חינוך,Special needs,
human_situations:education:students,Human Situations,מצבים ,Education,חינוך,Students,סטודנטים
human_situations:education:yeshiva_students,Human Situations,מצבים ,Education,חינוך,Yeshiva students,
human_situations:life_events,Human Situations,מצבים ,Life Events,אירועי חיים
human_situations:life_events:bar_bat_mitzva,Human Situations,מצבים ,Life Events,אירועי חיים,Bar/Bat Mitzva,בר/בת מצווה
human_situations:life_events:birth,Human Situations,מצבים ,Life Events,אירועי חיים,Birth,לידה
human_situations:life_events:grieving,Human Situations,מצבים ,Life Events,אירועי חיים,Grieving,אבל
human_situations:life_events:wedding,Human Situations,מצבים ,Life Events,אירועי חיים,Wedding,חתונה
human_situations:employment,Human Situations,מצבים ,Employment,תעסוקה
human_situations:employment:employed,Human Situations,מצבים ,Employment,תעסוקה,Employed,מועסקת
human_situations:employment:retirement,Human Situations,מצבים ,Employment,תעסוקה,Retirement,גמלאית
human_situations:employment:unemployed,Human Situations,מצבים ,Employment,תעסוקה,Unemployed,מובטלת
human_situations:guardianship,Human Situations,מצבים ,Guardianship,אפוטרופסות 
human_situations:guardianship:foster_youth,Human Situations,מצבים ,Guardianship,אפוטרופסות ,Foster Youth,נוער אומנה
human_situations:health,Human Situations,מצבים ,Health,בריאות
human_situations:health:treatment_phases,Human Situations,מצבים ,Health,בריאות,Treatment Phases,שלבי טיפול
human_situations:health:treatment_phases:all_care_phases,Human Situations,מצבים ,Health,בריאות,Treatment Phases,שלבי טיפול,All Care Phases,כל שלבי הטיפול
human_situations:health:treatment_phases:hospitalized,Human Situations,מצבים ,Health,בריאות,Treatment Phases,שלבי טיפול,Hospitalized,אשפוז
human_situations:health:treatment_phases:recently_diagnosed,Human Situations,מצבים ,Health,בריאות,Treatment Phases,שלבי טיפול,Recently Diagnosed,אבחנה טרייה
human_situations:health:treatment_phases:on_treatment,Human Situations,מצבים ,Health,בריאות,Treatment Phases,שלבי טיפול,On-Treatment,בטיפול
human_situations:health:treatment_phases:post_treatment,Human Situations,מצבים ,Health,בריאות,Treatment Phases,שלבי טיפול,Post-Treatment,אחרי טיפול
human_situations:health:treatment_phases:facing_end_of_life,Human Situations,מצבים ,Health,בריאות,Treatment Phases,שלבי טיפול,Facing End of Life,גסיסה
human_situations:health:pregnant,Human Situations,מצבים ,Health,בריאות,Pregnant,הריון
human_situations:health:cancer,Human Situations,מצבים ,Health,בריאות,Cancer,סרטן
human_situations:health:cancer:all_cancer_types,Human Situations,מצבים ,Health,בריאות,Cancer,סרטן,All Cancer Types,כל סוגי הסרטן
human_situations:health:cancer:bladder_cancer,Human Situations,מצבים ,Health,בריאות,Cancer,סרטן,Bladder Cancer,סרטן שפוחית השתן
human_situations:health:cancer:brain_stem_glioma,Human Situations,מצבים ,Health,בריאות,Cancer,סרטן,Brain Stem Glioma,
human_situations:health:cancer:brain_tumor,Human Situations,מצבים ,Health,בריאות,Cancer,סרטן,Brain Tumor,גידול במח
human_situations:health:cancer:breast_cancer,Human Situations,מצבים ,Health,בריאות,Cancer,סרטן,Breast Cancer,סרטן השד
human_situations:health:cancer:central_nervous_system,Human Situations,מצבים ,Health,בריאות,Cancer,סרטן,Central Nervous System, סרטן מערכת העצבים
human_situations:health:cancer:cervical_cancer,Human Situations,מצבים ,Health,בריאות,Cancer,סרטן,Cervical Cancer,סרטן צוואר הרחם
human_situations:health:cancer:colon_cancer,Human Situations,מצבים ,Health,בריאות,Cancer,סרטן,Colon Cancer,סרטן המעי
human_situations:health:cancer:colorectal_cancer,Human Situations,מצבים ,Health,בריאות,Cancer,סרטן,Colorectal Cancer,סרטן המעי הגס
human_situations:health:cancer:desmoid_tumors,Human Situations,מצבים ,Health,בריאות,Cancer,סרטן,Desmoid Tumors,
human_situations:health:cancer:endomentrial_cancer,Human Situations,מצבים ,Health,בריאות,Cancer,סרטן,Endomentrial Cancer,סרטן רירית הרחם
human_situations:health:cancer:head_neck_cancer,Human Situations,מצבים ,Health,בריאות,Cancer,סרטן,Head & Neck Cancer,סרטן הראש והצוואר
human_situations:health:cancer:leukemia,Human Situations,מצבים ,Health,בריאות,Cancer,סרטן,Leukemia,סרטן הדם
human_situations:health:cancer:liver_cancer,Human Situations,מצבים ,Health,בריאות,Cancer,סרטן,Liver Cancer,סרטן הכבד
human_situations:health:cancer:lung_cancer,Human Situations,מצבים ,Health,בריאות,Cancer,סרטן,Lung Cancer,סרטן הריאה
human_situations:health:cancer:lymphoma,Human Situations,מצבים ,Health,בריאות,Cancer,סרטן,Lymphoma,לימפומה
human_situations:health:cancer:neuroblastoma,Human Situations,מצבים ,Health,בריאות,Cancer,סרטן,Neuroblastoma,
human_situations:health:cancer:ovarian_cancer,Human Situations,מצבים ,Health,בריאות,Cancer,סרטן,Ovarian Cancer,סרטן השחלות
human_situations:health:cancer:sarcoma,Human Situations,מצבים ,Health,בריאות,Cancer,סרטן,Sarcoma,סרקומה
human_situations:health:cancer:skin_cancer,Human Situations,מצבים ,Health,בריאות,Cancer,סרטן,Skin Cancer,סרטן העור
human_situations:health:cancer:stomach_gastric_cancer,Human Situations,מצבים ,Health,בריאות,Cancer,סרטן,Stomach (Gastric) Cancer,סרטן הקיבה
human_situations:health:cancer:testicular_cancer,Human Situations,מצבים ,Health,בריאות,Cancer,סרטן,Testicular Cancer,סרטן האשכים
human_situations:health:cancer:throat_cancer,Human Situations,מצבים ,Health,בריאות,Cancer,סרטן,Throat Cancer,סרטן הגרון
